antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_desc,consequents_desc
"frozenset({'22698', '22699'})",frozenset({'22697'}),0.023101513963447735,0.036914168526449125,0.02056818867241691,0.8903394255874673,24.119178654925847,1.0,0.019715415492754084,8.782425558437373,0.9812065757520231,0.5214067278287461,0.8861362395449752,0.7237644840355637,"['22698 (PINK REGENCY TEACUP AND SAUCER)', '22699 (ROSES REGENCY TEACUP AND SAUCER )']",['22697 (GREEN REGENCY TEACUP AND SAUCER)']
frozenset({'22698'}),frozenset({'22697'}),0.029736413535195128,0.036914168526449125,0.024368176608963146,0.81947261663286,22.199406063980692,1.0,0.023270481628352768,5.334846235016409,0.9842209510022244,0.5763195435092724,0.8125531728662984,0.7398016677935542,['22698 (PINK REGENCY TEACUP AND SAUCER)'],['22697 (GREEN REGENCY TEACUP AND SAUCER)']
frozenset({'22697'}),frozenset({'22699'}),0.036914168526449125,0.040895108269497556,0.028711019965015985,0.7777777777777778,19.018846279908228,1.0,0.027201411046448368,4.315972012787261,0.9837343091554903,0.5847665847665848,0.7683024827229594,0.73992133726647,['22697 (GREEN REGENCY TEACUP AND SAUCER)'],['22699 (ROSES REGENCY TEACUP AND SAUCER )']
frozenset({'22698'}),frozenset({'22699'}),0.029736413535195128,0.040895108269497556,0.023101513963447735,0.7768762677484787,18.996801833336328,1.0,0.02188544011237938,4.298533742028525,0.9763940166253906,0.48604060913705593,0.7673625333628091,0.6708865114553604,['22698 (PINK REGENCY TEACUP AND SAUCER)'],['22699 (ROSES REGENCY TEACUP AND SAUCER )']
frozenset({'23300'}),frozenset({'23301'}),0.03781892755896013,0.04475541347487786,0.027625309126002775,0.7304625199362041,16.321210401647342,1.0,0.025932707385925062,3.544013939356518,0.975627209138332,0.5027442371020857,0.7178340669332783,0.6738565968953258,['23300 (GARDENERS KNEELING PAD CUP OF TEA )'],['23301 (GARDENERS KNEELING PAD KEEP CALM )']
frozenset({'22726'}),frozenset({'22727'}),0.041618915495506364,0.04572048977622293,0.027384040050666504,0.6579710144927535,14.391162861840847,1.0,0.02548120285025672,2.790054500230534,0.9709216167337112,0.45674044265593566,0.6415840622764276,0.6284578027608887,['22726 (ALARM CLOCK BAKELIKE GREEN)'],['22727 (ALARM CLOCK BAKELIKE RED )']
frozenset({'82494L'}),frozenset({'82482'}),0.04728873876590868,0.051510947584293386,0.027625309126002775,0.5841836734693877,11.340961501696697,1.0,0.02518942138210471,2.281028886791147,0.9570833177820076,0.388135593220339,0.5616013432399987,0.5602417196386751,['82494L (WOODEN FRAME ANTIQUE WHITE )'],['82482 (WOODEN PICTURE FRAME WHITE FINISH)']
frozenset({'22910'}),frozenset({'22086'}),0.04083479100066349,0.0569998190481935,0.026358646480487365,0.6454948301329394,11.324506654787305,1.0,0.024031070782578746,2.6600463437682205,0.9505098015965638,0.3687763713080168,0.6240667000623003,0.553964346283401,['22910 (PAPER CHAIN KIT VINTAGE CHRISTMAS)'],"[""22086 (PAPER CHAIN KIT 50'S CHRISTMAS )""]"
frozenset({'20726'}),frozenset({'22382'}),0.04065383919416129,0.05265697569214066,0.02086977501658725,0.5133531157270029,9.74900493200227,1.0,0.018729066794348104,1.9466743853155402,0.9354552772694812,0.28809325562031646,0.48630340670049543,0.4548437972678543,['20726 (LUNCH BAG WOODLAND)'],['22382 (LUNCH BAG SPACEBOY DESIGN )']
frozenset({'23202'}),frozenset({'23203'}),0.04276494360335364,0.05923155799505398,0.02406659026479281,0.5627644569816643,9.50109158075256,1.0,0.021533556027595557,2.1516284689726026,0.9347222814440006,0.3088235294117648,0.5352357461241913,0.48453905130142283,['23202 (JUMBO BAG VINTAGE LEAF)'],['23203 (JUMBO BAG VINTAGE DOILY )']
